NAME OF SONG,RELEASE YEAR,SINGERS,MOVIE NAME,SONG DURATION,RATING,TYPE OF SONG,LINK TO AUDIO,LANGUAGE,genre
Teri Meri Meri Teri Aashiqui ,2019,Sonu Nigam,Ashi Hi Aashiqui,0:04:26,8.5,Romantic,https://www.jiosaavn.com/song/teri-meri-meri-teri-aashiqui-from-ashi-hi-aashiqui/AAwpcxNhc2s,MARATHI,
Saaj Hyo Tuza,2018,Onkarswaroop Bagde,Baban,0:05:05,7.3,Romantic,https://www.jiosaavn.com/song/saaj-hyo-tuza/SREJQiteaGc,MARATHI,
Zingaat,2016,Ajay-Atul,Sairat,0:03:55,8,Party,"https://www.jiosaavn.com/song/zingaat/LyI,VRhGZ2Y",MARATHI,
Sairat Zaala Ji,2016,Ajay-Atul,Sairat,0:05:05,7.7,Romantic,https://www.jiosaavn.com/song/sairat-zaala-ji/EiIeXiV5dAc,MARATHI,
Yad Lagla,2016,Ajay-Atul,Sairat,0:05:11,8,Romantic,https://www.jiosaavn.com/song/yad-lagla/PipeSDtzXXc,MARATHI,
Dhuvun Taak,2018,Ajay-Atul,Mauli,0:03:18,,Party,https://www.jiosaavn.com/song/dhuvun-taak/QV4GZiNeWXI,MARATHI,
Dhaga Dhaga,2015,Amitraj,Dagdi Chawl,0:04:26,,Love,https://www.jiosaavn.com/song/dhaga-dhaga/OgxSaRcDfl4,MARATHI,
Mauli Mauli,2014,Ajay-Atul,Lai Bhaari,0:05:05,,Religious,https://www.jiosaavn.com/song/mauli-mauli/Ly4Ed0ddB3k,MARATHI,
Ya Re Ya,2016,Rohan Rohan,Ventilator,0:03:18,,Chill,https://www.jiosaavn.com/song/ya-re-ya/JyYNeg11R0U,MARATHI,
Jau De Na Va,2019,Jayas Kumar,Naal,0:05:05,,Chill,https://www.jiosaavn.com/song/jau-de-na-va/IwUFaxxiXwM,MARATHI,
Jiv Rangala,2012,Ajay-Atul,Jogwa,0:04:26,,Fusion,https://www.jiosaavn.com/song/jiv-rangala/AjoCXy1oWVY,MARATHI,
Mitwaa,2014, Shankar-Ehsaan-Loy,Mitwaa,0:04:38,,Romantic,https://www.jiosaavn.com/album/mitwaa/sXzgD2UoU5Y_,MARATHI,
Ashwini Ye Na ,2019,Arun Paudwal,Ye Re Ye Re Paisa 2,0:03:18,,Chill,https://www.jiosaavn.com/song/ashwini-ye-na-from-ye-re-ye-re-paisa-2/Rxw8egQAREY,MARATHI,
Ararara,2018,Narendra Bhide,Mulshi Pattern,0:03:28,,Comedy,https://www.jiosaavn.com/song/ararara/AT8iQDdHD3A,MARATHI,
Aali Thumkat Naar,2018,Avinash-Vishwajeet,Mumbai Pune Mumbai 3,0:04:33,8.9,Romantic,https://www.jiosaavn.com/album/aali-thumkat-naar---mumbai-pune-mumbai-3/F7UohJe-F7c_,MARATHI,
Hrudayat Vaje Something,2016,Vishwjeet Joshi,Ti Saddhya Kay Karte,0:04:26,7.9,Love,https://www.jiosaavn.com/song/hrudayat-vaje-something/SQANdT58BHQ,MARATHI,
Apsara Aali,2010,Ajay-Atul,Natarang,0:03:55,6,Folk,https://www.jiosaavn.com/song/apsara-aali/R14xHAQHewE,MARATHI,
Kitida Navyane,2016,"Aarya Ambekar	",Ti Saddhya Kay Karte,0:03:40,8.7,Love,https://www.jiosaavn.com/song/kitida-navyane/BQUCdQwBYFI,MARATHI,
Mazi Pandhari Chi Maay,2018,Ajay-Atul,Mauli,0:07:11,6.5,Religious,https://www.jiosaavn.com/song/mazi-pandhari-chi-maay/FBkaCSBhTXU,MARATHI,
Aatach Baya Ka Baavarla,2016,Ajay-Atul,Sairat,0:05:11,8.9,Happy,https://www.jiosaavn.com/song/aatach-baya-ka-baavarla/PBE6ciwGAVA,MARATHI,
Saavar Re Mana,2014,Swapnil Bandodkar,Mitwaa,0:06:46,5,Romantic,https://www.jiosaavn.com/song/saavar-re-mana/MQ88eQZAYVg,MARATHI,
Mala Ved Laagale ,2013, Ketaki Mategaonkar,Timepass,0:04:26,8.1,Love,https://www.jiosaavn.com/song/mala-ved-laagale-duet-version/BxwEBhF3QWA,MARATHI,
Jara Jara,2016,"Aarya Ambekar	",Ti Saddhya Kay Karte,0:05:05,9,Romantic,https://www.jiosaavn.com/song/jara-jara/Gi49YU1qVGM,MARATHI,
Awaz Vadav DJ,2015,Anand Shinde,Poshter Girl,0:04:26,8.8,Party,https://www.jiosaavn.com/song/awaz-vadav-dj/GQ1TdTl2ZUo,MARATHI,
Sar Sukhachi Shravani,2013,Nilesh Moharir,Mangalashtak Once More,0:06:17,7.2,Slow,https://www.jiosaavn.com/song/sar-sukhachi-shravani/FQESARxafgA,MARATHI,
Khel Mandala,2010,Ajay Gogavale,Natarang,0:04:48,7.2,Sad,https://www.jiosaavn.com/song/khel-mandala/JikmVQJXDkk,MARATHI,
Tu Jarashi,2017,Nilesh Moharir,What's Up Lagna,0:04:48,7,Romantic,https://www.jiosaavn.com/song/tu-jarashi/RSc5CUBiQAI,MARATHI,
Paisa Pisa,2019,Mika Singh ,Ye Re Ye Re Paisa 2,0:03:55,8.1,Comedy,https://www.jiosaavn.com/song/paisa-pisa-ye-re-ye-re-paisa/KTIdRRwBdEs,MARATHI,
Lagnalu,2017,Avadhoot Gupte,Boyz,0:03:28,6.8,Comedy,https://www.jiosaavn.com/song/lagnalu/HhAcYydnREA,MARATHI,
Tik Tik Vajate Dokyaat,2013,Sonu Nigam,Duniyadari,0:02:41,7.9,Romantic,https://www.jiosaavn.com/song/tik-tik-vajate-dokyaat/KjIkQzwFBAs,MARATHI,
Chimbh Bhijalele,2009,Shankar Mahadevan,Bandh Premache,0:05:11,9.4,Romantic,https://www.jiosaavn.com/song/chimbh-bhijalele/HBhTQUB1B2c,MARATHI,
Bhola Bhandari,2015,Arijit Singh,Katyar Kaljat Ghusli,0:03:28,9.5,Religious,https://www.jiosaavn.com/song/bhola-bhandari/SAQnZyJDYH4,MARATHI,
Kiti Sangaichay Mala,2015, Aanandi Joshi,Double Seat,0:04:38,8.3,Romantic,https://www.jiosaavn.com/song/kiti-sangaichay-mala/PgQkBz9ZZ2I,MARATHI,
