SR NO,SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
577,Bhanvare Ki Gunjan,1971,kal aaj aur kal,4:25,retro song,https://gaana.com/song/bhanware-ki-gunjan,HINDI,Other,Kishor Kumar,8.6
578,Bhali Bhali Si Ek Surat,1971,Buddha Mil Gaya,4:49,retro song,https://gaana.com/song/bhali-bhali-si-ek-surat-3,HINDI,Other,Asha Bhosale,7.3
579,Chanda O Chanda,1971,Lakhon Mein Ek,3:09,retro song,https://gaana.com/song/chanda-o-chanda-2,HINDI,Other,Kishor Kumar,9.6
580,Dil Aaj Shayar Hai,1971,ye laal rang,3:40,retro song,https://gaana.com/song/dil-aaj-shayar-hai,HINDI,Other,Kishor Kumar,8.5
581,Chingari Koi Bhadke,1971,Amar Prem,5:20,retro song,https://gaana.com/song/chingari-koi-bhadke-2,HINDI,Other,Kishor Kumar,7.9
582,Choodi Nahin Ye Mera Dil,1971,Gambler,4:21,"retro song,entertaning",https://gaana.com/song/churi-nahin-yeh-mera-dil-hai,HINDI,Other,Lata Mangeshkar,9.2
583,Chupke Se Dil Dede,1971,Maryada,3:28,"retro song,romantic love",https://gaana.com/song/chupke-se-dil-dede,HINDI,Other,Lata Mangeshkar,9.1
584,Duniya O Duniya Tera,1971,Naya Jamana,4:12,retro song,https://gaana.com/song/duniya-o-duniya-tera-jawab-nahin,HINDI,Other,Kishor Kumar,5.7
585,Geet Gata Hoon Main,1971,Lal Patthar,3:33,"retro song,entertaning",https://gaana.com/song/geet-gata-hoon-main,HINDI,Other,Kishor Kumar,7.1
586,Gussa Itana Haseen Hai To,1971,Maryada,3:43,"retro song,love",https://gaana.com/song/gussa-itna-haseen-hai-to,HINDI,Other,Kishor Kumar,8.2
587,Hal Chal Thik Thak Hai,1971,Mere Apne,3:26,"retro song,enttertaning",https://gaana.com/song/haal-chaal-thik-thak-hai,HINDI,Other,Kishor Kumar,6.8
588,Hum jab Honge Saath Sal ke,1971,Kal Aaj Aur Kal,4:57,"retro song,entertaning",https://gaana.com/song/hum-jab-honge-saath-saal-ke,HINDI,Other,Kishor Kumar,8.6
589,Aankho Aankho me bat hone do,1972,Aankho Aankho me,4:04,"retro song,romance love",https://gaana.com/song/aankhon-aankhon-mein-baat-hone-do,HINDI,Other,Asha Bhosale,6.7
590,Bol Meri Gudiya,1972,Bhai Ho to Aisa,5:21,"entertaining,retro",https://gaana.com/song/bol-meri-gudiya,HINDI,Other,Lata Mangeshkar,8.7
591,Bombai Shahar Ki,1972,Piya Ka Ghar,7:11,"entertaining,retro",https://gaana.com/song/bombai-shahar-ki,HINDI,Other,Kishor Kumar,8.6
592,"HEY LOOK MA,I MADE IT",2018,PRAY FOR THE WICKED,3:06,INDIE,https://gaana.com/song/hey-look-ma-i-made-it,ENGLISH,Other,PANIC! AT THE DISCO,6.5
593,TRAMPOLINE,2019,EP MELT,3:04,ELECTRO,https://gaana.com/song/trampoline-91,ENGLISH,Other,SHAED,7.2
594,High Rated Gabru,2017,High Rated Gabru,3:37,Rock,https://gaana.com/song/high-rated-gabru-1?autoplay=true,Punjabi,Other,Guru Randhava,8
595,Hostel,2017,Hostel,5:35,Pop,https://gaana.com/song/hostel-7?autoplay=true,Punjabi,Other,Jassi Lohka,6.5
596,Hoyi Jatt Di Lyrics,2017,Hoi Jaat Di,4:05,Basic,https://gaana.com/song/hoyi-jatt-di,Punjabi,Other,Manjit Lohka,9
597,Amplifier,2009,Amplifier,5:32,Simple,https://gaana.com/song/amplifier-24?autoplay=true,Punjabi,Other,Imran Khan,9
598,Jimmy Choo choo,2017,Jimmy choo choo,3:41,Rock,https://gaana.com/song/jimmy-choo-choo-feat-ikka?autoplay=true,Punjabi,Other,Guri,7
599,challa,2012,Jab Tak Hai Jan,5:12,Rock,https://gaana.com/song/challa-17?autoplay=true,Punjabi,Other,Rabbi Shergil,8
600,Pardesi,2016,Putta Paradesia,3:38,Emotional,https://gaana.com/song/pardesi-2,Punjabi,Other,Mamkirt Aulakh,7
601,Dil Da Plot,2014,Mondeyan Ton Bahke Rahin,3:03,Wedding,https://gaana.com/song/dil-da-plot?autoplay=true,Punjabi,Other,Jassi Gill,6.5
602,Billo Ji,2016,Rangrez,5:20,Fun,https://gaana.com/song/billo-ji?autoplay=true,Punjabi,Other,Satindar Sartaaj,4
603,Manje Bistre,2017,Manje mistree,3:35,Traditional,https://gaana.com/album/manje-bistre,Punjabi,Other,Nachhatar Gill,7
604,sardara,2017,Sardara,3:06,Traditional,https://gaana.com/song/sardara-6?autoplay=true,Punjabi,Other,Tarsem Jassar,6.5
605,Ishq Kahani,2017,Ishq kahani,3:30,BrokenHeart,https://gaana.com/song/ishq-kahani-3?autoplay=true,Punjabi,Other,Jatindar Bhakuria,6.8
606,Naa Bolda,2016,Naa Bolna,3:46,Punjabi folk,https://gaana.com/song/na-bolda?autoplay=true,Punjabi,Other,Mann Banwait,5.6
607,Teri Yaari,2016,Teri Yaari,4:37,Traditional,https://gaana.com/song/teri-yaari-3?autoplay=true,Punjabi,Other,Rosshan Prince,6
608,Ranjhana,2017,Warrant- the legal notice,3:14,Silent,https://www.jiosaavn.com/album/ranjhana-feat.-pappi-gill/u9hc1XXCwmg_,Punjabi,Other,Pappi Gill,6
609,Jaan,2010,Realism Volume 1,4:11,Silent,https://gaana.com/artist/jatti-cheed,Punjabi,Other,Jatti Cheed,6
610,Mera Laung Gawacha,2017,Laung Gawacha Single,3:53,Punjabi folk,https://gaana.com/song/mera-laung-gawacha?autoplay=true,Punjabi,Other,Musarrat Nazir,7.5
